competition_name,pubchem_cid,pubchem_inchikey,chembl_mapping_status,chembl_id,chembl_pref_name,molecule_type,max_phase,first_approval,atc_classifications,chemical_probe
"(1R, 2S, 5R) - (-) - Menthol",16666,NOOLISFMXDJSKH-KXUCPTDWSA-N,exact_standard_inchikey,CHEMBL470670,LEVOMENTHOL,Small molecule,3.0,,,0
(S)-(+)-Camptothecin,24360,VSJKWCGYPAHWDS-FQEVSTJZSA-N,exact_standard_inchikey,CHEMBL65,CAMPTOTHECIN,Small molecule,-1.0,,,0
1-10 Phenanthroline monohydrate,1318,DGEZNRSVGBDHLK-UHFFFAOYSA-N,exact_standard_inchikey,CHEMBL415879,PHENANTHROLINE,Small molecule,,,,0
4-Hydroxytamoxifen,449459,TXUZVZSFRXZGTL-QPLCGJKRSA-N,exact_standard_inchikey,CHEMBL489,AFIMOXIFENE,Small molecule,3.0,,,0
Abietic acid,10569,RSWGJHLUYNHPMX-ONCXSQPRSA-N,exact_standard_inchikey,CHEMBL71893,ABIETIC ACID,Small molecule,,,,0
Amiodarone hydrochloride,441325,ITPDYQOUSLNIHG-UHFFFAOYSA-N,exact_standard_inchikey,CHEMBL1083993,AMIODARONE HYDROCHLORIDE,Small molecule,4.0,1985,,0
Amphotericin B,5280965,APKFDSVGJQXUKY-INPOYWNPSA-N,exact_standard_inchikey,CHEMBL267345,AMPHOTERICIN B,Small molecule,4.0,1964,J02AA01;A01AB04;A07AA07;G01AA03,0
Anisomycin,253602,YKJYKKNCCRKFSL-RDBSUJKOSA-N,exact_standard_inchikey,CHEMBL423192,ANISOMYCIN,Small molecule,,,,0
Artemisinin,68827,BLUAFEHZUWYNDE-NNWCWBAJSA-N,exact_standard_inchikey,CHEMBL269671,ARTEMISININ,Small molecule,3.0,,P01BE01,0
Brefeldin A,5287620,KQNZDYYTLMIZCT-KQPMLPITSA-N,exact_standard_inchikey,CHEMBL19980,BREFELDIN A,Small molecule,,,,0
CHX,6197,YPHMISFOHDHNIV-FSZOTQKASA-N,exact_standard_inchikey,CHEMBL123292,CYCLOHEXIMIDE,Small molecule,2.0,,,0
Cisplatin,5702198,LXZZYRPGZAFOLE-UHFFFAOYSA-L,no_exact_chembl_match,,,,,,,
