competition_name,search_rank,candidate_chembl_id,candidate_pref_name,candidate_standard_inchikey,pubchem_standard_inchikey,candidate_relation,standard_inchikey_match,adoption_status
Cisplatin,1,CHEMBL197201,Cisplatin derivative,,LXZZYRPGZAFOLE-UHFFFAOYSA-L,search_result_only,False,not_adopted_without_exact_standard_inchikey
Cisplatin,2,CHEMBL11359,CISPLATIN,,LXZZYRPGZAFOLE-UHFFFAOYSA-L,exact_preferred_name,False,not_adopted_without_exact_standard_inchikey
Cisplatin,3,CHEMBL197200,Cisplatin derivative,,LXZZYRPGZAFOLE-UHFFFAOYSA-L,search_result_only,False,not_adopted_without_exact_standard_inchikey
Cisplatin,4,CHEMBL1627580,Cisplatin complex,,LXZZYRPGZAFOLE-UHFFFAOYSA-L,search_result_only,False,not_adopted_without_exact_standard_inchikey
Cisplatin,5,CHEMBL2447941,,,LXZZYRPGZAFOLE-UHFFFAOYSA-L,search_result_only,False,not_adopted_without_exact_standard_inchikey
Cisplatin,6,CHEMBL1627577,Cisplatin complex,,LXZZYRPGZAFOLE-UHFFFAOYSA-L,search_result_only,False,not_adopted_without_exact_standard_inchikey
Cisplatin,7,CHEMBL1627579,Cisplatin complex,,LXZZYRPGZAFOLE-UHFFFAOYSA-L,search_result_only,False,not_adopted_without_exact_standard_inchikey
Cisplatin,8,CHEMBL1627581,Cisplatin complex,,LXZZYRPGZAFOLE-UHFFFAOYSA-L,search_result_only,False,not_adopted_without_exact_standard_inchikey
Cisplatin,9,CHEMBL1627945,Cisplatin complex,,LXZZYRPGZAFOLE-UHFFFAOYSA-L,search_result_only,False,not_adopted_without_exact_standard_inchikey
Cisplatin,10,CHEMBL1627949,Cisplatin complex,,LXZZYRPGZAFOLE-UHFFFAOYSA-L,search_result_only,False,not_adopted_without_exact_standard_inchikey
Doxycycline hyclate,1,CHEMBL3989740,DOXYCYCLINE HYCLATE,HALQELOKLVRWRI-VDBOFHIQSA-N,UHHHTIKWXBRCLT-VDBOFHIQSA-N,exact_preferred_name,False,not_adopted_without_exact_standard_inchikey
Doxycycline hyclate,2,CHEMBL1200567,,JRNIHERUNQWMMW-WBYAVNBMSA-N,UHHHTIKWXBRCLT-VDBOFHIQSA-N,search_result_only,False,not_adopted_without_exact_standard_inchikey
Doxycycline hyclate,3,CHEMBL1256723,DOXYCYCLINE HYDROCHLORIDE,RUYHIJHUVHIMIR-CVHRZJFOSA-N,UHHHTIKWXBRCLT-VDBOFHIQSA-N,search_result_only,False,not_adopted_without_exact_standard_inchikey
Doxycycline hyclate,4,CHEMBL1433,DOXYCYCLINE ANHYDROUS,JBIWCJUYHHGXTC-AKNGSSGZSA-N,UHHHTIKWXBRCLT-VDBOFHIQSA-N,search_result_only,False,not_adopted_without_exact_standard_inchikey
Doxycycline hyclate,5,CHEMBL1200699,DOXYCYCLINE,XQTWDDCIUJNLTR-CVHRZJFOSA-N,UHHHTIKWXBRCLT-VDBOFHIQSA-N,search_result_only,False,not_adopted_without_exact_standard_inchikey
Doxycycline hyclate,6,CHEMBL2364574,DOXYCYCLINE CALCIUM,GJPGCACMCURAKH-YQCFNCLSSA-L,UHHHTIKWXBRCLT-VDBOFHIQSA-N,search_result_only,False,not_adopted_without_exact_standard_inchikey
Doxycycline hyclate,7,CHEMBL2106418,DOXYCYCLINE FOSFATEX,CJYQQUPRURWLOW-YDLUHMIOSA-M,UHHHTIKWXBRCLT-VDBOFHIQSA-N,search_result_only,False,not_adopted_without_exact_standard_inchikey
Doxycycline hyclate,8,CHEMBL2447928,,PFRHBQNGSUHMRO-XEODAVPKSA-N,UHHHTIKWXBRCLT-VDBOFHIQSA-N,search_result_only,False,not_adopted_without_exact_standard_inchikey
Doxycycline hyclate,9,CHEMBL1458713,,LTLYEAJONXGNFG-HBNTYKKESA-N,UHHHTIKWXBRCLT-VDBOFHIQSA-N,search_result_only,False,not_adopted_without_exact_standard_inchikey
Nystatin dihydrate,1,CHEMBL3109319,,XOQNJTMQFFAIPP-MZMZDCEBSA-N,VXWFKTGGEJLHPP-LYAKXBBJSA-N,search_result_only,False,not_adopted_without_exact_standard_inchikey
Nystatin dihydrate,2,CHEMBL5465559,NYSTATIN,,VXWFKTGGEJLHPP-LYAKXBBJSA-N,search_result_only,False,not_adopted_without_exact_standard_inchikey
Nystatin dihydrate,3,CHEMBL450895,,VQOXZBDYSJBXMA-NQTDYLQESA-N,VXWFKTGGEJLHPP-LYAKXBBJSA-N,search_result_only,False,not_adopted_without_exact_standard_inchikey
Nystatin dihydrate,4,CHEMBL1697715,CEFOPERAZONE DIHYDRATE,OMYIZCZQILAOGB-BYLXUVCXSA-N,VXWFKTGGEJLHPP-LYAKXBBJSA-N,search_result_only,False,not_adopted_without_exact_standard_inchikey
