competition_name,pubchem_query,pubchem_cid,resolution,feature_molecule_policy,resolution_note
"(1R, 2S, 5R) - (-) - Menthol",(-)-Menthol,16666,curated-alias,fragment-parent,Exact competition spelling returns 404; stereospecific PubChem alias verified.
(S)-(+)-Camptothecin,(S)-(+)-Camptothecin,24360,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
1-10 Phenanthroline monohydrate,"1,10-Phenanthroline",1318,curated-alias,fragment-parent,"Exact competition spelling returns 404; mapped to 1,10-phenanthroline parent, hydration water omitted."
4-Hydroxytamoxifen,4-Hydroxytamoxifen,449459,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Abietic acid,Abietic acid,10569,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Amiodarone hydrochloride,Amiodarone hydrochloride,441325,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Amphotericin B,Amphotericin B,5280965,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Anisomycin,Anisomycin,253602,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Artemisinin,Artemisinin,68827,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Brefeldin A,Brefeldin A,5287620,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
CHX,Cycloheximide,6197,curated-alias,fragment-parent,Exact abbreviation returns 404; expanded to cycloheximide.
Cisplatin,Cisplatin,5702198,exact-name,full-record,Keep full disconnected PubChem record because fragment-parent would discard ammine fragments.
Clomiphene citrate,Clomiphene citrate,60974,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Clotrimazole,Clotrimazole,2812,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
Cyclopiazonic acid,Cyclopiazonic acid,54682463,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
DMSO,DMSO,679,exact-name,fragment-parent,Exact competition name resolved to this CID as the first PubChem result.
