competition_name,metadata_row_count,data_sources,pert_ids,pert_id_count,perturbation_times,split_roles,competition_dose_status,competition_dose_value,competition_dose_unit,recoverability,chembl_yeast_activity_count,chembl_yeast_activity_with_value_count,external_activity_policy
"(1R, 2S, 5R) - (-) - Menthol",144,WAYC,#4,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
(S)-(+)-Camptothecin,144,WAYC,#5,1,120 min;15 min;240 min;30 min;60 min;90 min,test_both;test_chem_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,40,39,mechanistic_prior_only; never substitute for competition treatment dose
1-10 Phenanthroline monohydrate,255,WAYC,#46;#6,2,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,3,3,mechanistic_prior_only; never substitute for competition treatment dose
4-Hydroxytamoxifen,143,WAYC,#7,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Abietic acid,143,WAYC,#3,1,120 min;15 min;240 min;30 min;60 min;90 min,test_both;test_chem_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Amiodarone hydrochloride,143,WAYC,#8,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,1,1,mechanistic_prior_only; never substitute for competition treatment dose
Amphotericin B,422,WAYB;WAYB_rep1;WAYB_rep2,#9,1,120 min;15 min;240 min;30 min;60 min;90 min,test_both;val_both;val_chem_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,137,123,mechanistic_prior_only; never substitute for competition treatment dose
Anisomycin,288,WAYC,#45;#9,2,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,7,6,mechanistic_prior_only; never substitute for competition treatment dose
Artemisinin,143,WAYC,#10,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,1,1,mechanistic_prior_only; never substitute for competition treatment dose
Brefeldin A,288,WAYC,#11;#44,2,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
CHX,404,WAYB;WAYB_rep1;WAYB_rep2,#6,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,36,36,mechanistic_prior_only; never substitute for competition treatment dose
Cisplatin,425,WAYB;WAYB_rep1;WAYB_rep2,#5,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Clomiphene citrate,144,WAYC,#12,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Clotrimazole,144,WAYC,#13,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,37,36,mechanistic_prior_only; never substitute for competition treatment dose
Cyclopiazonic acid,139,WAYC,#14,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
DMSO,569,WAYB;WAYB_rep1;WAYB_rep2;WAYC,#12;#2,2,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Desipramine hydrochloride,140,WAYC,#15,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Doxycycline hyclate,143,WAYC,#16,1,120 min;15 min;240 min;30 min;60 min;90 min,test_both;test_chem_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Dyclonine hydrochloride,105,WAYC,#17,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
EDTA,850,WAYB;WAYB_rep1;WAYB_rep2,#16;#2,2,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Emodin,144,WAYC,#18,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,2,2,mechanistic_prior_only; never substitute for competition treatment dose
FCCP,426,WAYB;WAYB_rep1;WAYB_rep2,#11,1,120 min;15 min;240 min;30 min;60 min;90 min,test_both;val_both;val_chem_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Fluconazole,143,WAYC,#19,1,120 min;15 min;240 min;30 min;60 min;90 min,test_both;test_chem_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,203,190,mechanistic_prior_only; never substitute for competition treatment dose
G418,425,WAYB;WAYB_rep1;WAYB_rep2,#8,1,120 min;15 min;240 min;30 min;60 min;90 min,test_both;test_chem_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Geldanamycin,144,WAYC,#20,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,5,5,mechanistic_prior_only; never substitute for competition treatment dose
H2O2,402,WAYB;WAYB_rep1;WAYB_rep2,#3,1,120 min;15 min;240 min;30 min;60 min;90 min,test_both;test_chem_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Haloperidol,144,WAYC,#21,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,3,3,mechanistic_prior_only; never substitute for competition treatment dose
Harmine hydrochloride,144,WAYC,#22,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Hoechst 33258,143,WAYC,#23,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Hydroxyurea,426,WAYB;WAYB_rep1;WAYB_rep2,#14,1,120 min;15 min;240 min;30 min;60 min;90 min,test_both;val_both;val_chem_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,1,1,mechanistic_prior_only; never substitute for competition treatment dose
Hygromycin B,144,WAYC,#24,1,120 min;15 min;240 min;30 min;60 min;90 min,test_both;test_chem_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
LY 294002 hydrochloride,144,WAYC,#25,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
MMS,522,WAYB;WAYB_rep1;WAYB_rep2;WAYC,#4;#47,2,120 min;15 min;240 min;30 min;60 min;90 min,test_both;test_chem_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,2,0,mechanistic_prior_only; never substitute for competition treatment dose
NaCl,426,WAYB;WAYB_rep1;WAYB_rep2,#13,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Neomycin B,143,WAYC,#26,1,120 min;15 min;240 min;30 min;60 min;90 min,test_both;test_chem_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Nigericin,144,WAYC,#27,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Nocodazole,144,WAYC,#28,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,4,0,mechanistic_prior_only; never substitute for competition treatment dose
Nystatin dihydrate,144,WAYC,#29,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Oligomycin,144,WAYC,#30,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Parthenolide,144,WAYC,#31,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Pentamidine isethionate,143,WAYC,#32,1,120 min;15 min;240 min;30 min;60 min;90 min,test_both;val_both;val_chem_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,1,1,mechanistic_prior_only; never substitute for competition treatment dose
Plumbagin,144,WAYC,#33,1,120 min;15 min;240 min;30 min;60 min;90 min,test_both;test_chem_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,2,2,mechanistic_prior_only; never substitute for competition treatment dose
Raloxifene hydrochloride,45,WAYC,#34,1,120 min;15 min;240 min;30 min;60 min;90 min,test_both;val_both;val_chem_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Rapamycin,426,WAYB;WAYB_rep1;WAYB_rep2,#10,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,14,14,mechanistic_prior_only; never substitute for competition treatment dose
SDS,425,WAYB;WAYB_rep1;WAYB_rep2,#7,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Sorbitol,426,WAYB;WAYB_rep1;WAYB_rep2,#15,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Staurosporine,105,WAYC,#35,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,1,1,mechanistic_prior_only; never substitute for competition treatment dose
Sulfometuron methyl,144,WAYC,#36,1,120 min;15 min;240 min;30 min;60 min;90 min,test_both;val_both;val_chem_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,3,3,mechanistic_prior_only; never substitute for competition treatment dose
Tamoxifen,144,WAYC,#37,1,120 min;15 min;240 min;30 min;60 min;90 min,test_both;test_chem_only,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,12,7,mechanistic_prior_only; never substitute for competition treatment dose
Trichostatin A,144,WAYC,#38,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,2,2,mechanistic_prior_only; never substitute for competition treatment dose
Trifluoperazine dihydrochloride,145,WAYC,#39,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Tunicamycin,143,WAYC,#40,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
U-73122,144,WAYC,#41,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Valinomycin,142,WAYC,#42,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Water,589,WAYB;WAYB_rep1;WAYB_rep2;WAYC,#1,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
Wortmannin,143,WAYC,#43,1,120 min;15 min;240 min;30 min;60 min;90 min,test_strain_only;test_time;train;val_strain_only;val_time,not_released,,,not_recoverable_from_released_metadata_or_molecular_structure,0,0,mechanistic_prior_only; never substitute for competition treatment dose
