strain_a,strain_b,snp_nonidentical_percent,orf_symmetric_difference_count
BAH,BAH,0.0,0
BAH,BAI,1.775225757,63
BAH,CEK,2.105058297,119
BAH,CGD,2.217677535,734
BAH,CRD,2.098852689,134
BAI,BAH,1.775225757,63
BAI,BAI,0.0,0
BAI,CEK,1.361694498,130
BAI,CGD,1.60692186,747
BAI,CRD,1.477710303,145
CEK,BAH,2.105058297,119
CEK,BAI,1.361694498,130
CEK,CEK,0.0,0
CEK,CGD,1.609181415,741
CEK,CRD,1.474651144,151
CGD,BAH,2.217677535,734
CGD,BAI,1.60692186,747
CGD,CEK,1.609181415,741
CGD,CGD,0.0,0
CGD,CRD,0.398047881,694
CRD,BAH,2.098852689,134
CRD,BAI,1.477710303,145
CRD,CEK,1.474651144,151
CRD,CGD,0.398047881,694
CRD,CRD,0.0,0
