protein_position,competition_label,canonical_gene_symbol,resolution,resolution_note,uniprot_accession,uniprot_entry_name,sgd_id,systematic_name,protein_name,sequence_length,sequence_sha256,string_id,biogrid_id,reactome_ids,kegg_ids,go_ids,uniprot_pathway
0,1-Oct,OCT1,explicit_alias,probable spreadsheet date conversion; OCT1 is the sole evidence-backed repair,P35999,PMIP_YEAST,S000001617,YKL134C,Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59),772,857d62ac46ae1d91c237b6e5e2d62568fb9baf5eaf97d5ff37b5df622f060594,4932.YKL134C,34002,,sce:YKL134C,GO:0004222; GO:0005739; GO:0005759; GO:0006627; GO:0006879; GO:0046872; GO:0050821,
1,AAC1,AAC1,primary_exact,,P04710,ADT1_YEAST,S000004660,YMR056C,"ADP/ATP translocase 1 (ADP,ATP carrier protein 1) (Adenine nucleotide translocator 1) (ANT 1)",309,c9830b4db31e5115c61bd42ed1715c1e170eb3d32ed462e628efc702a288fc62,4932.YMR056C,35232,R-SCE-1268020;R-SCE-166187;R-SCE-83936;R-SCE-9837999,sce:YMR056C,GO:0005471; GO:0005524; GO:0005739; GO:0005743; GO:0005757; GO:0005758; GO:0005829; GO:0006783; GO:0006839; GO:0009060; GO:0015886; GO:0046902; GO:0140021; GO:1990544,
2,AAC3,AAC3,primary_exact,,P18238,ADT3_YEAST,S000000289,YBR085W,"ADP/ATP translocase 3 (ADP,ATP carrier protein 3) (Adenine nucleotide translocator 3) (ANT 3)",307,ff2cdb3d14a814f4fd758b6b265252ddb10dfcb4b0e6ae8ecba6836744c15bd3,4932.YBR085W,32790,R-SCE-1268020;R-SCE-166187;R-SCE-83936;R-SCE-9837999,sce:YBR085W,GO:0005471; GO:0005524; GO:0005739; GO:0005743; GO:0005757; GO:0009061; GO:0015886; GO:0042802; GO:0046902; GO:0055085; GO:0140021; GO:1990544,
3,AAD10,AAD10,primary_exact,,P47182,AAD10_YEAST,S000003916,YJR155W,Putative aryl-alcohol dehydrogenase AAD10 (EC 1.1.1.-),288,a80260a43f6fac4a1d79981eb995285b8949299ad1bbe8cf40d7acff0ab5be86,4932.YJR155W,33910,,sce:YJR155W,GO:0006081; GO:0047681,
4,AAD14,AAD14,primary_exact,,P42884,AAD14_YEAST,S000005275,YNL331C,Putative aryl-alcohol dehydrogenase AAD14 (EC 1.1.1.-),376,bfdf8f2a07048398e2ca3a4311f6531cfe8261732e1edf25b1339fb52a1415d7,4932.YNL331C,35510,,sce:YNL331C,GO:0006081; GO:0047681,
5,AAD16,AAD16,primary_exact,,Q02895,AAD16_YEAST,S000006009,YPL088W,Putative aryl-alcohol dehydrogenase AAD16 (EC 1.1.1.-),342,eac8ff81977e9c041b83cab39ac8c742698bd42c09262abef9c220a2e693790d,4932.YPL088W,36093,,sce:YPL088W,GO:0005829; GO:0006081; GO:0047681,
6,AAD4,AAD4,primary_exact,,Q07747,AAD4_YEAST,S000002402,YDL243C,Probable aryl-alcohol dehydrogenase AAD4 (EC 1.1.1.-),329,606d643379faab8a82291a13c7ccbf9361f6a358b5fb8ab70a968ba61a921848,4932.YDL243C,31869,,sce:YDL243C,GO:0006081; GO:0047681,
7,AAD6,AAD6,primary_exact,,P43547,AAD6_YEAST,S000001838,YFL056C,Putative aryl-alcohol dehydrogenase AAD6 (EC 1.1.1.-),212,b31c470c11801b5248b6c4fa66532ef2a9a1da13320ca5e2e418ad9780ce5449,,31091,,,GO:0016491,
8,AAH1,AAH1,primary_exact,,P53909,ADE_YEAST,S000005085,YNL141W,Adenine deaminase (ADE) (EC 3.5.4.2) (Adenine aminohydrolase) (AAH),347,a523c1c8f3bf8b9148c0a96ace0bc543c6f39b45f0afec62d9c4589862a3b590,4932.YNL141W,35686,,sce:YNL141W,GO:0000034; GO:0005634; GO:0005737; GO:0006146; GO:0008270; GO:0009117; GO:0009168; GO:0043101; GO:0043103,
9,AAP1,AAP1,primary_exact,,P37898,AAP1_YEAST,S000001089,YHR047C,Alanine/arginine aminopeptidase (EC 3.4.11.-),856,0ab76047c0c7a710014bd26cb9c628054304648bcadb4569bd85d425c3d38bc5,4932.YHR047C,36479,,sce:YHR047C,GO:0004177; GO:0005576; GO:0005634; GO:0005737; GO:0005977; GO:0006508; GO:0008270; GO:0043171; GO:0070006,
10,AAR2,AAR2,primary_exact,,P32357,AAR2_YEAST,S000000170,YBL074C,A1 cistron-splicing factor AAR2,355,7fedb83805645a2e27f465e2d4fc485c8611d43a597dbb5419bed98c347520fc,4932.YBL074C,32628,,sce:YBL074C,GO:0000244; GO:0000387; GO:0005682; GO:0005737,
11,AAT1,AAT1,primary_exact,,Q01802,AATM_YEAST,S000001589,YKL106W,"Aspartate aminotransferase, mitochondrial (EC 2.6.1.1) (Transaminase A)",451,f3b0cda10d9f51087b0d49626948bb3a4d1a4ee558809a22fd8a201d7b88f079,4932.YKL106W,34028,R-SCE-389661;R-SCE-8963693;R-SCE-8964539;R-SCE-9856872,sce:YKL106W,GO:0004069; GO:0005739; GO:0005759; GO:0006103; GO:0006531; GO:0006533; GO:0006536; GO:0030170; GO:1901605,
